Person,Job Title,Fees,Contact Info,Address,Recommendation,Gender,Hospital,Email,Experience
Audrey Jensen,Orthopedic Surgeon,"$1,324 ",81-963757,Aley,5,Female,Aley Medical Center,audrey.jensen@gmail.com,17
Blake Solis,Oncologic Surgeon,$310 ,71-904718,Byblos,4,Male,Notre Dame de Secours,blake.solis@gmail.com,26
Laurie Fox,Orthopedic Surgeon,"$1,384 ",81-470425,Byblos,5,Female,Notre Dame de Secours,laurie.fox@gmail.com,5
Belinda Gray,Plastic Surgeon,$482 ,81-739342,Nabatieh,6,Female,Hammoud Hospital,belinda.gray@gmail.com,35
Ashley Castro,Cardiothoracic Surgeon,$708 ,81-805370,Baalbek,0,Female,Dar El Amal,ashley.castro@gmail.com,7
Michael Hampton,Cardiothoracic Surgeon,$549 ,81-577304,Tripoli,9,Male,General Hospital,michael.hampton@gmail.com,5
Selena Hamilton,Cardiothoracic Surgeon,"$1,325 ",71-363410,Sidon,10,Female,General Hospital,selena.hamilton@gmail.com,5
Sarah Mitchell,Vascular Surgeon,$744 ,71-479495,Beirut,0,Female,Najjar,sarah.mitchell@gmail.com,14
Ebony Lane,Orthopedic Surgeon,$380 ,71-565416,Jounieh,3,Male,General Hospital,ebony.lane@gmail.com,17
Carl Boyd,Plastic Surgeon,"$1,082 ",76-400664,Tripoli,0,Male,General Hospital,carl.boyd@gmail.com,9
Thomas Morrow,Pediatric Surgeon,"$1,262 ",81-404413,Aley,2,Male,Mount Lebanon,thomas.morrow@gmail.com,5
Jennifer Carter,Oncologic Surgeon,$471 ,81-369057,Aley,1,Female,Mount Lebanon,jennifer.carter@gmail.com,17
William Hansen,Pediatric Surgeon,"$1,200 ",76-962545,Nabatieh,5,Male,Al Najda,william.hansen@gmail.com,22
Brooke Powell,Plastic Surgeon,"$1,348 ",76-755506,Jounieh,3,Male,General Hospital,brooke.powell@gmail.com,3
Joseph Ellis,Pediatric Surgeon,$707 ,76-928273,Byblos,1,Male,Notre Dame de Secours,joseph.ellis@gmail.com,3
Evan Dixon,Plastic Surgeon,"$1,179 ",76-384745,Baalbek,7,Male,Dar El Amal,evan.dixon@gmail.com,3
Carla Jackson,Cardiothoracic Surgeon,$539 ,71-184444,Aley,8,Female,Mount Lebanon,carla.jackson@gmail.com,7
